date,trend_stock
2004-01-01,17
2004-02-01,17
2004-03-01,15
2004-04-01,14
2004-05-01,13
2004-06-01,12
2004-07-01,11
2004-08-01,12
2004-09-01,11
2004-10-01,12
2004-11-01,14
2004-12-01,13
2005-01-01,13
2005-02-01,15
2005-03-01,15
2005-04-01,13
2005-05-01,12
2005-06-01,12
2005-07-01,11
2005-08-01,13
2005-09-01,13
2005-10-01,14
2005-11-01,14
2005-12-01,13
2006-01-01,16
2006-02-01,16
2006-03-01,18
2006-04-01,15
2006-05-01,13
2006-06-01,11
2006-07-01,11
2006-08-01,11
2006-09-01,11
2006-10-01,13
2006-11-01,14
2006-12-01,13
2007-01-01,14
2007-02-01,15
2007-03-01,14
2007-04-01,14
2007-05-01,13
2007-06-01,13
2007-07-01,14
2007-08-01,14
2007-09-01,13
2007-10-01,15
2007-11-01,16
2007-12-01,12
2008-01-01,17
2008-02-01,14
2008-03-01,15
2008-04-01,14
2008-05-01,14
2008-06-01,13
2008-07-01,14
2008-08-01,11
2008-09-01,18
2008-10-01,29
2008-11-01,21
2008-12-01,17
2009-01-01,17
2009-02-01,17
2009-03-01,20
2009-04-01,18
2009-05-01,17
2009-06-01,15
2009-07-01,14
2009-08-01,16
2009-09-01,16
2009-10-01,16
2009-11-01,16
2009-12-01,14
2010-01-01,15
2010-02-01,15
2010-03-01,17
2010-04-01,16
2010-05-01,16
2010-06-01,14
2010-07-01,13
2010-08-01,14
2010-09-01,14
2010-10-01,16
2010-11-01,17
2010-12-01,15
2011-01-01,17
2011-02-01,17
2011-03-01,17
2011-04-01,15
2011-05-01,13
2011-06-01,13
2011-07-01,13
2011-08-01,20
2011-09-01,14
2011-10-01,16
2011-11-01,15
2011-12-01,13
2012-01-01,15
2012-02-01,16
2012-03-01,15
2012-04-01,14
2012-05-01,17
2012-06-01,14
2012-07-01,13
2012-08-01,14
2012-09-01,14
2012-10-01,15
2012-11-01,16
2012-12-01,15
2013-01-01,21
2013-02-01,20
2013-03-01,17
2013-04-01,16
2013-05-01,17
2013-06-01,16
2013-07-01,16
2013-08-01,16
2013-09-01,19
2013-10-01,20
2013-11-01,19
2013-12-01,18
2014-01-01,21
2014-02-01,21
2014-03-01,20
2014-04-01,20
2014-05-01,18
2014-06-01,18
2014-07-01,19
2014-08-01,18
2014-09-01,20
2014-10-01,21
2014-11-01,20
2014-12-01,21
2015-01-01,23
2015-02-01,23
2015-03-01,21
2015-04-01,22
2015-05-01,20
2015-06-01,20
2015-07-01,24
2015-08-01,27
2015-09-01,24
2015-10-01,25
2015-11-01,26
2015-12-01,25
2016-01-01,33
2016-02-01,35
2016-03-01,35
2016-04-01,34
2016-05-01,33
2016-06-01,34
2016-07-01,35
2016-08-01,34
2016-09-01,34
2016-10-01,36
2016-11-01,49
2016-12-01,42
2017-01-01,42
2017-02-01,48
2017-03-01,50
2017-04-01,47
2017-05-01,46
2017-06-01,45
2017-07-01,42
2017-08-01,41
2017-09-01,43
2017-10-01,50
2017-11-01,70
2017-12-01,70
2018-01-01,98
2018-02-01,81
2018-03-01,71
2018-04-01,63
2018-05-01,63
2018-06-01,68
2018-07-01,63
2018-08-01,77
2018-09-01,92
2018-10-01,100
2018-11-01,79
2018-12-01,71
2019-01-01,75
2019-02-01,74
2019-03-01,80
2019-04-01,73
2019-05-01,76
2019-06-01,65
2019-07-01,68
2019-08-01,74
2019-09-01,63
2019-10-01,64
