date,BCPI
2019-09-25,432.33
2019-09-18,433.06
2019-09-11,428.6
2019-09-04,421.88
2019-08-28,417.9
2019-08-21,419.39
2019-08-14,417.58
2019-08-07,411.98
2019-07-31,425.06
2019-07-24,420.63
2019-07-17,438.48
2019-07-10,436.76
2019-07-03,435.84
2019-06-26,434.95
2019-06-19,412.69
2019-06-12,408.18
2019-06-05,406.25
2019-05-29,422.95
2019-05-22,442.45
2019-05-15,443.34
2019-05-08,445.48
2019-05-01,455.53
2019-04-24,462.11
2019-04-17,462.19
2019-04-10,465.88
2019-04-03,457.66
2019-03-27,451.7
2019-03-20,449.54
2019-03-13,438.41
2019-03-06,437.0
2019-02-27,435.54
2019-02-20,429.07
2019-02-13,426.43
2019-02-06,433.3
2019-01-30,426.82
2019-01-23,420.18
2019-01-16,417.19
2019-01-09,400.08
2019-01-02,373.65
2018-12-26,369.87
2018-12-19,391.43
2018-12-12,402.23
2018-12-05,388.79
2018-11-28,361.17
2018-11-21,369.3
2018-11-14,364.31
2018-11-07,382.62
2018-10-31,398.96
2018-10-24,402.9
2018-10-17,418.28
2018-10-10,436.03
2018-10-03,451.5
2018-09-26,449.7
2018-09-19,446.08
2018-09-12,449.91
2018-09-05,463.55
2018-08-29,459.41
2018-08-22,450.71
2018-08-15,447.03
2018-08-08,451.78
2018-08-01,460.19
2018-07-25,466.62
2018-07-18,479.55
2018-07-11,501.8
2018-07-04,504.87
2018-06-27,486.72
2018-06-20,476.24
2018-06-13,489.8
2018-06-06,484.05
2018-05-30,493.42
2018-05-23,511.74
2018-05-16,511.83
2018-05-09,503.64
2018-05-02,494.28
2018-04-25,494.12
2018-04-18,489.88
2018-04-11,473.06
2018-04-04,463.07
2018-03-28,459.6
2018-03-21,447.15
2018-03-14,441.4
2018-03-07,445.66
2018-02-28,448.09
2018-02-21,438.92
2018-02-14,429.98
2018-02-07,443.34
2018-01-31,456.27
2018-01-24,453.88
2018-01-17,455.48
2018-01-10,444.46
2018-01-03,435.84
2017-12-27,420.46
2017-12-20,416.08
2017-12-13,424.25
2017-12-06,434.71
2017-11-29,440.48
2017-11-22,438.18
2017-11-15,442.99
2017-11-08,442.16
2017-11-01,430.59
2017-10-25,423.35
2017-10-18,422.53
2017-10-11,415.27
2017-10-04,415.56
2017-09-27,419.0
2017-09-20,413.28
2017-09-13,408.08
2017-09-06,405.57
2017-08-30,402.64
2017-08-23,406.21
2017-08-16,406.84
2017-08-09,411.97
2017-08-02,412.76
2017-07-26,404.18
2017-07-19,401.68
2017-07-12,393.89
2017-07-05,396.57
2017-06-28,384.37
2017-06-21,383.64
2017-06-14,391.29
2017-06-07,396.45
2017-05-31,405.28
2017-05-24,410.48
2017-05-17,402.98
2017-05-10,393.72
2017-05-03,404.52
2017-04-26,406.4
2017-04-19,417.24
2017-04-12,418.03
2017-04-05,405.83
2017-03-29,390.85
2017-03-22,388.92
2017-03-15,386.24
2017-03-08,402.94
2017-03-01,413.01
2017-02-22,412.02
2017-02-15,413.17
2017-02-08,409.69
2017-02-01,404.55
2017-01-25,399.07
2017-01-18,397.52
2017-01-11,394.79
2017-01-04,393.43
2016-12-28,390.8
2016-12-21,386.19
2016-12-14,389.82
2016-12-07,386.19
2016-11-30,368.84
2016-11-23,364.43
2016-11-16,354.92
2016-11-09,355.74
2016-11-02,366.93
2016-10-26,375.03
2016-10-19,380.08
2016-10-12,379.32
2016-10-05,373.03
2016-09-28,363.17
2016-09-21,354.0
2016-09-14,360.72
2016-09-07,356.48
2016-08-31,365.21
2016-08-24,372.85
2016-08-17,364.7
2016-08-10,352.0
2016-08-03,346.73
2016-07-27,357.36
2016-07-20,367.65
2016-07-13,368.5
2016-07-06,379.95
2016-06-29,378.84
2016-06-22,380.44
2016-06-15,385.16
2016-06-08,384.65
2016-06-01,378.31
2016-05-25,374.86
2016-05-18,373.42
2016-05-11,363.26
2016-05-04,362.67
2016-04-27,357.97
2016-04-20,342.77
2016-04-13,338.17
2016-04-06,325.1
2016-03-30,332.91
2016-03-23,338.88
2016-03-16,327.5
2016-03-09,320.99
2016-03-02,307.84
2016-02-24,296.57
2016-02-17,283.15
