date,CEER
1999-01-01,95.43
1999-01-04,95.47
1999-01-05,95.84
1999-01-06,96.66
1999-01-07,96.46
1999-01-08,96.49
1999-01-11,96.87
1999-01-12,96.98
1999-01-13,96.04
1999-01-14,96.05
1999-01-15,96.29
1999-01-18,96.2
1999-01-19,96.18
1999-01-20,96.66
1999-01-21,97.39
1999-01-22,97.22
1999-01-25,97.39
1999-01-26,97.12
1999-01-27,97.29
1999-01-28,97.15
1999-01-29,98.45
1999-02-01,98.28
1999-02-02,97.61
1999-02-03,97.55
1999-02-04,98.89
1999-02-05,99.37
1999-02-08,99.49
1999-02-09,99.17
1999-02-10,99.11
1999-02-11,99.42
1999-02-12,99.17
1999-02-15,99.18
1999-02-16,99.04
1999-02-17,99.09
1999-02-18,99.97
1999-02-19,100.09
1999-02-22,99.68
1999-02-23,99.92
1999-02-24,99.87
1999-02-25,99.15
1999-02-26,99.09
1999-03-01,98.21
1999-03-02,98.53
1999-03-03,98.23
1999-03-04,98.5
1999-03-05,98.84
1999-03-08,98.74
1999-03-09,98.55
1999-03-10,97.83
1999-03-11,97.93
1999-03-12,97.79
1999-03-15,97.45
1999-03-16,97.38
1999-03-17,97.75
1999-03-18,97.81
1999-03-19,98.13
1999-03-22,98.8
1999-03-23,98.78
1999-03-24,98.88
1999-03-25,98.53
1999-03-26,98.58
1999-03-29,98.6
1999-03-30,98.59
1999-03-31,98.57
1999-04-01,99.31
1999-04-02,99.31
1999-04-05,99.62
1999-04-06,99.12
1999-04-07,99.42
1999-04-08,99.41
1999-04-09,99.32
1999-04-12,99.67
1999-04-13,99.94
1999-04-14,99.65
1999-04-15,99.92
1999-04-16,100.19
1999-04-19,100.37
1999-04-20,99.93
1999-04-21,100.1
1999-04-22,100.61
1999-04-23,100.79
1999-04-26,100.69
1999-04-27,100.73
1999-04-28,100.78
1999-04-29,101.45
1999-04-30,102.12
1999-05-03,102.7
1999-05-04,102.53
1999-05-05,102.2
1999-05-06,102.1
1999-05-07,101.94
1999-05-10,101.8
1999-05-11,102.23
1999-05-12,101.92
1999-05-13,102.05
1999-05-14,101.9
1999-05-17,102.16
1999-05-18,102.1
1999-05-19,101.86
1999-05-20,101.91
1999-05-21,102.44
1999-05-24,102.44
1999-05-25,102.48
1999-05-26,101.76
1999-05-27,101.59
1999-05-28,101.82
1999-05-31,101.42
1999-06-01,101.01
1999-06-02,101.35
1999-06-03,101.6
1999-06-04,102.04
1999-06-07,101.74
1999-06-08,101.67
1999-06-09,101.48
1999-06-10,102.28
1999-06-11,102.13
1999-06-14,102.5
1999-06-15,102.17
1999-06-16,102.63
1999-06-17,102.34
1999-06-18,102.11
1999-06-21,101.76
1999-06-22,101.82
1999-06-23,101.71
1999-06-24,101.87
1999-06-25,102.26
1999-06-28,101.92
1999-06-29,101.44
1999-06-30,101.77
1999-07-01,101.77
1999-07-02,102.31
1999-07-05,102.21
1999-07-06,102.1
1999-07-07,102.09
1999-07-08,102.19
1999-07-09,102.0
1999-07-12,101.55
1999-07-13,101.36
1999-07-14,101.28
1999-07-15,101.16
1999-07-16,101.22
1999-07-19,100.44
1999-07-20,100.18
1999-07-21,99.41
1999-07-22,99.3
1999-07-23,98.93
1999-07-26,98.6
1999-07-27,98.36
1999-07-28,98.43
1999-07-29,98.48
1999-07-30,98.54
1999-08-02,98.54
1999-08-03,99.43
1999-08-04,99.58
1999-08-05,99.27
1999-08-06,98.74
1999-08-09,98.92
1999-08-10,99.04
1999-08-11,99.77
1999-08-12,100.19
1999-08-13,100.78
1999-08-16,100.48
1999-08-17,100.66
1999-08-18,100.23
1999-08-19,99.32
1999-08-20,99.37
1999-08-23,99.27
1999-08-24,99.35
1999-08-25,99.39
1999-08-26,99.02
1999-08-27,99.72
1999-08-30,99.68
1999-08-31,99.09
1999-09-01,99.75
1999-09-02,99.08
1999-09-03,99.44
1999-09-06,99.44
1999-09-07,99.37
1999-09-08,99.73
1999-09-09,99.97
1999-09-10,100.58
1999-09-13,100.71
1999-09-14,100.43
1999-09-15,100.16
1999-09-16,100.27
1999-09-17,100.55
1999-09-20,100.13
1999-09-21,100.38
1999-09-22,100.53
1999-09-23,100.19
1999-09-24,100.29
1999-09-27,100.62
1999-09-28,101.06
1999-09-29,101.03
1999-09-30,100.56
1999-10-01,100.2
1999-10-04,100.48
1999-10-05,100.62
1999-10-06,100.59
1999-10-07,100.46
1999-10-08,100.41
1999-10-11,100.41
1999-10-12,100.09
1999-10-13,99.79
1999-10-14,99.72
1999-10-15,99.33
1999-10-18,98.69
1999-10-19,99.0
1999-10-20,99.16
1999-10-21,99.43
1999-10-22,100.11
1999-10-25,100.25
1999-10-26,100.51
1999-10-27,100.59
1999-10-28,100.59
1999-10-29,100.5
1999-11-01,100.76
1999-11-02,100.68
1999-11-03,100.75
1999-11-04,100.97
1999-11-05,101.32
1999-11-08,100.96
1999-11-09,100.45
1999-11-10,100.52
1999-11-11,100.52
1999-11-12,101.38
1999-11-15,101.09
1999-11-16,100.9
1999-11-17,100.87
1999-11-18,101.25
1999-11-19,101.37
1999-11-22,101.27
1999-11-23,101.09
1999-11-24,100.97
1999-11-25,100.88
1999-11-26,100.86
1999-11-29,100.49
1999-11-30,100.64
1999-12-01,100.64
1999-12-02,100.32
1999-12-03,100.33
1999-12-06,100.36
1999-12-07,100.25
1999-12-08,99.94
1999-12-09,100.36
1999-12-10,100.07
1999-12-13,100.09
1999-12-14,100.03
1999-12-15,99.94
1999-12-16,100.04
1999-12-17,100.19
1999-12-20,100.04
1999-12-21,100.01
1999-12-22,100.11
1999-12-23,100.25
1999-12-24,100.8
1999-12-27,100.8
1999-12-28,100.8
1999-12-29,102.09
1999-12-30,101.93
1999-12-31,102.55
2000-01-03,102.55
2000-01-04,101.67
2000-01-05,101.83
2000-01-06,101.58
2000-01-07,101.37
2000-01-10,101.61
2000-01-11,101.57
2000-01-12,101.8
2000-01-13,102.15
2000-01-14,102.26
2000-01-17,102.11
2000-01-18,102.17
2000-01-19,102.01
2000-01-20,102.23
2000-01-21,102.87
2000-01-24,102.99
2000-01-25,103.12
2000-01-26,103.26
2000-01-27,103.59
2000-01-28,103.03
2000-01-31,102.9
2000-02-01,103.16
2000-02-02,103.52
2000-02-03,103.4
2000-02-04,103.17
2000-02-07,103.27
2000-02-08,103.03
2000-02-09,103.14
2000-02-10,102.81
2000-02-11,102.77
2000-02-14,102.6
2000-02-15,102.29
2000-02-16,102.76
2000-02-17,102.79
2000-02-18,102.95
2000-02-21,102.82
2000-02-22,102.18
2000-02-23,101.87
2000-02-24,102.42
2000-02-25,103.14
2000-02-28,102.85
2000-02-29,103.33
2000-03-01,103.12
2000-03-02,102.77
2000-03-03,102.98
2000-03-06,102.73
2000-03-07,102.77
2000-03-08,102.35
2000-03-09,102.31
2000-03-10,102.31
2000-03-13,102.01
2000-03-14,101.85
2000-03-15,101.53
2000-03-16,101.2
2000-03-17,101.19
2000-03-20,101.43
2000-03-21,101.72
2000-03-22,101.4
2000-03-23,101.22
2000-03-24,101.65
2000-03-27,102.07
2000-03-28,102.45
2000-03-29,102.47
