ticker,exchange,name,market_value,sector,date_of_listing
AW,TSX,A&W Revenue Royalties Income Fund,571728957,Consumer Products & Services,2002-02-14
FAP,TSX,Aberdeen Asia-Pacific Income Investment Company Ltd.,177851156,Closed-End Funds,1986-06-11
ACD,TSX,Accord Financial Corp.,94128312,Financial Services,1992-06-17
DRX,TSX,ADF Group Inc.,21035914,Industrial Products & Services,1999-07-20
AAV,TSX,Advantage Oil & Gas Ltd.,276628055,Oil & Gas,2001-05-29
ARE,TSX,Aecon Group Inc.,1316865152,Industrial Products & Services,1987-12-31
AEZS,TSX,AEterna Zentaris Inc.,49815503,Life Sciences,1995-12-18
AGF,TSX,AGF Management Limited,443273090,Financial Services,1968-08-19
AJX,TSX,AgJunction Inc.,56909588,Technology,1997-03-12
AEM,TSX,Agnico Eagle Mines Limited,19834740099,Mining,1957-12-27
BOS,TSX,AirBoss of America Corp.,182694972,Consumer Products & Services,1992-06-03
AKT,TSX,Akita Drilling Ltd.,70653073,Industrial Products & Services,1993-01-08
ASR,TSX,Alacer Gold Corp.,1720949246,Mining,2003-07-18
ALC,TSX,Algoma Central Corporation,592364724,Industrial Products & Services,1958-05-27
AQN,TSX,Algonquin Power & Utilities Corp.,8790162600,Clean Technology,1997-12-23
ATD,TSX,Alimentation Couche-Tard Inc.,47309772666,Consumer Products & Services,1999-12-06
AP,TSX,Allied Properties Real Estate Investment Trust,6104293808,Real Estate,2003-02-19
AMM,TSX,Almaden Minerals Ltd.,108374917,Mining,1990-05-18
ALA,TSX,AltaGas Ltd.,5943475358,Industrial Products & Services,2000-01-17
ADW,TSX,Andrew Peller Limited/Andrew Peller Limitee,625147923,Consumer Products & Services,1972-08-29
APS,TSX,Aptose Biosciences Inc.,177429005,Life Sciences,1993-06-04
ARX,TSX,ARC Resources Ltd.,1990343288,Oil & Gas,1996-07-11
ACO,TSX,Atco Ltd.,5455334717,Utilities & Pipelines,1968-03-08
ATA,TSX,ATS Automation Tooling Systems Inc.,1689661413,Industrial Products & Services,1993-12-21
AVP,TSX,Avcorp Industries Inc.,23927710,Industrial Products & Services,1996-11-27
BAD,TSX,Badger Daylighting Ltd.,1504442156,Industrial Products & Services,1997-06-05
BLDP,TSX,Ballard Power Systems Inc.,1395771672,Clean Technology,1993-06-09
