date,price,volume
2019-10-23,39.53,1228126
2019-10-22,39.03,1083171
2019-10-21,39.27,748298
2019-10-18,39.02,1669638
2019-10-17,39.17,1868090
2019-10-16,39.58,1623424
2019-10-15,39.68,1290026
2019-10-11,39.33,1415028
2019-10-10,40.1,1739158
2019-10-09,40.88,2100359
2019-10-08,40.03,2054431
2019-10-07,40.38,1136853
2019-10-04,40.66,1127493
2019-10-03,41.22,3018224
2019-10-02,40.4,1149138
2019-10-01,40.18,1620315
2019-09-30,40.6,1718934
2019-09-27,40.33,1770760
2019-09-26,41.0,1596084
2019-09-25,40.995,2071314
2019-09-24,41.39,1683042
2019-09-23,41.31,1387844
2019-09-20,41.425,4607620
2019-09-19,41.49,2359004
2019-09-18,40.535,2640686
2019-09-17,40.485,3278148
2019-09-16,39.99,3106722
2019-09-13,41.59,1858006
2019-09-12,42.125,2538990
2019-09-11,42.92,1211346
2019-09-10,43.1842,1692082
2019-09-09,43.1693,1744638
2019-09-06,42.586,2354070
2019-09-05,41.539,2627154
2019-09-04,41.0504,1579870
2019-09-03,40.7812,1626988
2019-08-30,41.7783,1611278
2019-08-29,41.4593,1986264
2019-08-28,40.856,1040328
2019-08-27,40.7713,2516534
2019-08-26,39.9237,1078480
2019-08-23,39.5049,1371946
2019-08-22,39.9487,1635566
2019-08-21,40.4572,1715838
2019-08-20,40.6367,1494442
2019-08-19,41.4393,1090060
2019-08-16,41.544,943682
2019-08-15,40.9507,1333746
2019-08-14,40.7413,1868478
2019-08-13,41.3047,1473840
2019-08-12,41.0654,935364
2019-08-09,41.2349,1486534
2019-08-08,41.2449,1165522
2019-08-07,41.0654,1616878
2019-08-06,40.4322,2975242
2019-08-02,40.3724,1953092
2019-08-01,40.3475,1607886
2019-07-31,40.3325,1682068
2019-07-30,40.9806,560070
2019-07-29,41.1402,1373958
2019-07-26,41.4343,950404
2019-07-25,40.6965,1463648
2019-07-24,40.7463,1820812
2019-07-23,40.3325,2007462
2019-07-22,39.5997,1785480
2019-07-19,39.6595,1773478
2019-07-18,39.6246,3601068
2019-07-17,40.6067,1402492
2019-07-16,41.215,1566406
2019-07-15,41.1354,1048626
2019-07-12,41.6375,1931622
2019-07-11,42.0351,3312066
2019-07-10,42.6514,3044474
2019-07-09,41.6275,1875546
2019-07-08,41.3541,1544080
2019-07-05,41.5728,1181124
2019-07-04,41.9904,495100
2019-07-03,42.3035,1833292
2019-07-02,41.1205,2098778
2019-06-28,40.9615,2703766
2019-06-27,41.384,1751786
2019-06-26,40.6782,1638272
2019-06-25,41.2746,2366116
2019-06-24,41.6027,2271482
2019-06-21,41.0559,5691548
2019-06-20,42.383,1961810
2019-06-19,43.5759,1160222
2019-06-18,43.7946,1323084
2019-06-17,43.4616,1510704
2019-06-14,42.6465,1468082
2019-06-13,42.6663,2075806
2019-06-12,43.5163,1894368
2019-06-11,42.9596,2007746
2019-06-10,43.064,1891552
2019-06-07,42.4476,1206650
2019-06-06,42.2389,1356772
2019-06-05,42.2538,1470310
2019-06-04,41.6921,1694460
2019-06-03,41.4337,1268686
2019-05-31,41.2299,1567834
2019-05-30,41.5281,1272582
2019-05-29,41.2348,1553120
2019-05-28,42.5023,1588918
2019-05-27,42.3532,482628
2019-05-24,41.9953,1287844
2019-05-23,42.6315,1623250
2019-05-22,42.2339,1934046
2019-05-21,41.6176,2125770
2019-05-17,41.9059,984746
2019-05-16,41.5927,1565960
2019-05-15,41.4237,2108810
2019-05-14,40.539,1299396
2019-05-13,40.206,1326752
2019-05-10,40.2159,2109930
2019-05-09,40.2805,1583560
2019-05-08,39.5946,1255224
2019-05-07,39.3858,3371704
2019-05-06,39.3361,1481446
2019-05-03,39.1622,1343356
2019-05-02,39.2665,2359544
2019-05-01,39.187,1396330
2019-04-30,39.2616,1430170
2019-04-29,39.2417,690358
2019-04-26,39.2616,2653886
2019-04-25,39.1721,1720548
2019-04-24,39.1125,1840748
2019-04-23,39.2964,1885502
2019-04-22,39.2864,949998
2019-04-18,39.3113,2263054
2019-04-17,39.1075,2539834
2019-04-16,40.1761,1857098
2019-04-15,40.3849,1499232
2019-04-12,40.6583,1029024
2019-04-11,40.1364,1833968
2019-04-10,40.2159,1625424
2019-04-09,40.0221,1695828
2019-04-08,39.7884,1673928
2019-04-05,39.9773,1355106
2019-04-04,39.8232,1565652
2019-04-03,39.3163,1935230
2019-04-02,39.5946,1800866
2019-04-01,38.9932,1654146
2019-03-29,39.1274,3061490
2019-03-28,38.9683,2097160
2019-03-27,38.4564,2753754
2019-03-26,37.2684,1406364
2019-03-25,37.1941,2125550
2019-03-22,36.02,2792264
2019-03-21,35.4701,1917214
2019-03-20,35.7674,2742070
2019-03-19,35.7575,2377750
2019-03-18,36.6789,1067314
2019-03-15,36.5996,5794848
2019-03-14,36.9662,1509082
2019-03-13,36.9266,1478424
2019-03-12,37.1,1302882
2019-03-11,37.1,1579864
2019-03-08,37.1545,1342034
2019-03-07,37.6251,1243468
2019-03-06,37.8282,1391400
2019-03-05,37.7242,1334312
2019-03-04,37.6152,1483668
2019-03-01,37.7688,2599114
2019-02-28,36.7433,1774964
2019-02-27,37.1941,946778
2019-02-26,37.1743,1759620
2019-02-25,36.2083,1272722
2019-02-22,36.3173,1225132
2019-02-21,36.0052,2152404
2019-02-20,36.2033,1309798
2019-02-19,36.2083,2021454
