date,bank_interest
2019-09-25,3.95
2019-09-18,3.95
2019-09-11,3.95
2019-09-04,3.95
2019-08-28,3.95
2019-08-21,3.95
2019-08-14,3.95
2019-08-07,3.95
2019-07-31,3.95
2019-07-24,3.95
2019-07-17,3.95
2019-07-10,3.95
2019-07-03,3.95
2019-06-26,3.95
2019-06-19,3.95
2019-06-12,3.95
2019-06-05,3.95
2019-05-29,3.95
2019-05-22,3.95
2019-05-15,3.95
2019-05-08,3.95
2019-05-01,3.95
2019-04-24,3.95
2019-04-17,3.95
2019-04-10,3.95
2019-04-03,3.95
2019-03-27,3.95
2019-03-20,3.95
2019-03-13,3.95
2019-03-06,3.95
2019-02-27,3.95
2019-02-20,3.95
2019-02-13,3.95
2019-02-06,3.95
2019-01-30,3.95
2019-01-23,3.95
2019-01-16,3.95
2019-01-09,3.95
2019-01-02,3.95
2018-12-26,3.95
2018-12-19,3.95
2018-12-12,3.95
2018-12-05,3.95
2018-11-28,3.95
2018-11-21,3.95
2018-11-14,3.95
2018-11-07,3.95
2018-10-31,3.95
2018-10-24,3.7
2018-10-17,3.7
2018-10-10,3.7
2018-10-03,3.7
2018-09-26,3.7
2018-09-19,3.7
2018-09-12,3.7
2018-09-05,3.7
2018-08-29,3.7
2018-08-22,3.7
2018-08-15,3.7
2018-08-08,3.7
2018-08-01,3.7
2018-07-25,3.7
2018-07-18,3.7
2018-07-11,3.7
2018-07-04,3.45
2018-06-27,3.45
2018-06-20,3.45
2018-06-13,3.45
2018-06-06,3.45
2018-05-30,3.45
2018-05-23,3.45
2018-05-16,3.45
2018-05-09,3.45
2018-05-02,3.45
2018-04-25,3.45
2018-04-18,3.45
2018-04-11,3.45
2018-04-04,3.45
2018-03-28,3.45
2018-03-21,3.45
2018-03-14,3.45
2018-03-07,3.45
2018-02-28,3.45
2018-02-21,3.45
2018-02-14,3.45
2018-02-07,3.45
2018-01-31,3.45
2018-01-24,3.45
2018-01-17,3.2
2018-01-10,3.2
2018-01-03,3.2
2017-12-27,3.2
2017-12-20,3.2
2017-12-13,3.2
2017-12-06,3.2
2017-11-29,3.2
2017-11-22,3.2
2017-11-15,3.2
2017-11-08,3.2
2017-11-01,3.2
2017-10-25,3.2
2017-10-18,3.2
2017-10-11,3.2
2017-10-04,3.2
2017-09-27,3.2
2017-09-20,3.2
2017-09-13,3.2
2017-09-06,2.95
2017-08-30,2.95
2017-08-23,2.95
2017-08-16,2.95
2017-08-09,2.95
2017-08-02,2.95
2017-07-26,2.95
2017-07-19,2.95
2017-07-12,2.7
2017-07-05,2.7
2017-06-28,2.7
2017-06-21,2.7
2017-06-14,2.7
2017-06-07,2.7
2017-05-31,2.7
2017-05-24,2.7
2017-05-17,2.7
2017-05-10,2.7
2017-05-03,2.7
2017-04-26,2.7
2017-04-19,2.7
2017-04-12,2.7
2017-04-05,2.7
2017-03-29,2.7
2017-03-22,2.7
2017-03-15,2.7
2017-03-08,2.7
2017-03-01,2.7
2017-02-22,2.7
2017-02-15,2.7
2017-02-08,2.7
2017-02-01,2.7
2017-01-25,2.7
2017-01-18,2.7
2017-01-11,2.7
2017-01-04,2.7
2016-12-28,2.7
2016-12-21,2.7
2016-12-14,2.7
2016-12-07,2.7
2016-11-30,2.7
2016-11-23,2.7
2016-11-16,2.7
