Month,trend_grocery_store
2004-01-01,47
2004-02-01,44
2004-03-01,41
2004-04-01,39
2004-05-01,40
2004-06-01,42
2004-07-01,43
2004-08-01,46
2004-09-01,44
2004-10-01,46
2004-11-01,42
2004-12-01,46
2005-01-01,44
2005-02-01,44
2005-03-01,46
2005-04-01,40
2005-05-01,41
2005-06-01,36
2005-07-01,44
2005-08-01,37
2005-09-01,39
2005-10-01,36
2005-11-01,37
2005-12-01,36
2006-01-01,42
2006-02-01,37
2006-03-01,39
2006-04-01,37
2006-05-01,37
2006-06-01,34
2006-07-01,40
2006-08-01,37
2006-09-01,35
2006-10-01,39
2006-11-01,35
2006-12-01,34
2007-01-01,34
2007-02-01,34
2007-03-01,34
2007-04-01,37
2007-05-01,35
2007-06-01,34
2007-07-01,39
2007-08-01,36
2007-09-01,36
2007-10-01,37
2007-11-01,34
2007-12-01,36
2008-01-01,38
2008-02-01,37
2008-03-01,37
2008-04-01,34
2008-05-01,38
2008-06-01,38
2008-07-01,42
2008-08-01,40
2008-09-01,36
2008-10-01,42
2008-11-01,39
2008-12-01,41
2009-01-01,43
2009-02-01,48
2009-03-01,45
2009-04-01,46
2009-05-01,46
2009-06-01,46
2009-07-01,49
2009-08-01,46
2009-09-01,47
2009-10-01,47
2009-11-01,48
2009-12-01,49
2010-01-01,50
2010-02-01,46
2010-03-01,44
2010-04-01,48
2010-05-01,49
2010-06-01,45
2010-07-01,47
2010-08-01,43
2010-09-01,42
2010-10-01,41
2010-11-01,41
2010-12-01,44
2011-01-01,46
2011-02-01,43
2011-03-01,42
2011-04-01,50
2011-05-01,50
2011-06-01,44
2011-07-01,48
2011-08-01,45
2011-09-01,45
2011-10-01,45
2011-11-01,43
2011-12-01,44
2012-01-01,44
2012-02-01,42
2012-03-01,40
2012-04-01,45
2012-05-01,43
2012-06-01,43
2012-07-01,48
2012-08-01,48
2012-09-01,49
2012-10-01,44
2012-11-01,43
2012-12-01,46
2013-01-01,46
2013-02-01,47
2013-03-01,47
2013-04-01,41
2013-05-01,43
2013-06-01,44
2013-07-01,49
2013-08-01,49
2013-09-01,47
2013-10-01,46
2013-11-01,45
2013-12-01,48
2014-01-01,51
2014-02-01,48
2014-03-01,47
2014-04-01,51
2014-05-01,50
2014-06-01,49
2014-07-01,56
2014-08-01,60
2014-09-01,53
2014-10-01,50
2014-11-01,47
2014-12-01,53
2015-01-01,54
2015-02-01,53
2015-03-01,50
2015-04-01,57
2015-05-01,54
2015-06-01,54
2015-07-01,63
2015-08-01,63
2015-09-01,62
2015-10-01,53
2015-11-01,52
2015-12-01,66
2016-01-01,62
2016-02-01,63
2016-03-01,64
2016-04-01,54
2016-05-01,61
2016-06-01,63
2016-07-01,75
2016-08-01,69
2016-09-01,69
2016-10-01,64
2016-11-01,57
2016-12-01,66
2017-01-01,65
2017-02-01,64
2017-03-01,60
2017-04-01,69
2017-05-01,70
2017-06-01,70
2017-07-01,86
2017-08-01,84
2017-09-01,77
2017-10-01,70
2017-11-01,63
2017-12-01,75
2018-01-01,72
2018-02-01,72
2018-03-01,74
2018-04-01,70
2018-05-01,73
2018-06-01,79
2018-07-01,94
2018-08-01,96
2018-09-01,88
2018-10-01,77
2018-11-01,68
2018-12-01,86
2019-01-01,77
2019-02-01,77
2019-03-01,72
2019-04-01,83
2019-05-01,80
2019-06-01,85
2019-07-01,98
2019-08-01,100
2019-09-01,87
2019-10-01,80
