date,price,volume
2019-10-25,106.06,73000
2019-10-24,106.01,80300
2019-10-23,106.7,106000
2019-10-22,108.15,104800
2019-10-21,109.16,99100
2019-10-18,108.84,72500
2019-10-17,109.28,120000
2019-10-16,109.22,170900
2019-10-15,109.3,107100
2019-10-11,110.24,102100
2019-10-10,110.96,114500
2019-10-09,111.5,184200
2019-10-08,110.57,239800
2019-10-07,111.5,216800
2019-10-04,111.05,216200
2019-10-03,111.07,183800
2019-10-02,110.73,187400
2019-10-01,110.59,221500
2019-09-30,111.46,210800
2019-09-27,111.04,128500
2019-09-26,112.22,163600
2019-09-25,113.17,244800
2019-09-24,112.91,182900
2019-09-23,112.07,190100
2019-09-20,112.01,528500
2019-09-19,111.24,137800
2019-09-18,111.36,242400
2019-09-17,110.71,242000
2019-09-16,108.86,157600
2019-09-13,109.69,184400
2019-09-12,109.83,193600
2019-09-11,109.815,162700
2019-09-10,110.4121,164800
2019-09-09,110.7704,135500
2019-09-06,110.6809,195900
2019-09-05,109.8349,216400
2019-09-04,109.4766,214000
2019-09-03,108.1529,124300
2019-08-30,107.6553,209100
2019-08-29,108.2823,91200
2019-08-28,107.6056,91200
2019-08-27,106.7795,236300
2019-08-26,105.7047,101300
2019-08-23,105.0876,162000
2019-08-22,106.6203,93400
2019-08-21,106.9089,134400
2019-08-20,106.68,117500
2019-08-19,107.0283,393000
2019-08-16,106.9089,237800
2019-08-15,105.6051,153200
2019-08-14,105.625,249800
2019-08-13,106.7397,312600
2019-08-12,105.3862,120300
2019-08-09,105.6848,116800
2019-08-08,105.9236,144800
2019-08-07,105.4558,181000
2019-08-06,105.1772,224500
2019-08-02,105.426,107100
2019-08-01,105.8738,226600
2019-07-31,103.8834,311600
2019-07-30,103.4554,160300
2019-07-29,103.9729,174500
2019-07-26,103.7938,221300
2019-07-25,100.4995,240600
2019-07-24,99.156,199800
2019-07-23,99.8427,128100
2019-07-22,99.6138,99700
2019-07-19,99.1261,235500
2019-07-18,99.5142,172800
2019-07-17,99.8825,107200
2019-07-16,100.3901,131600
2019-07-15,100.7484,89300
