date,price,volume
2019-10-25,69.6,1068100
2019-10-24,69.22,785600
2019-10-23,69.85,595400
2019-10-22,70.77,613100
2019-10-21,71.42,455500
2019-10-18,71.22,284800
2019-10-17,71.5,528200
2019-10-16,71.62,716200
2019-10-15,72.6,446100
2019-10-11,73.01,428000
2019-10-10,73.43,591200
2019-10-09,74.15,659800
2019-10-08,74.03,546600
2019-10-07,75.11,317700
2019-10-04,74.85,424100
2019-10-03,75.2,474500
2019-10-02,74.88,358800
2019-10-01,74.81,413800
2019-09-30,75.46,463100
2019-09-27,74.75,390800
2019-09-26,75.06,416500
2019-09-25,75.68,449900
2019-09-24,75.77,518500
2019-09-23,75.05,639500
2019-09-20,74.88,1769400
2019-09-19,73.27,621000
2019-09-18,73.19,721600
2019-09-17,72.21,528500
2019-09-16,71.92,582400
2019-09-13,72.44,638800
2019-09-12,72.24,914200
2019-09-11,72.335,857200
2019-09-10,73.6194,484700
2019-09-09,74.177,415800
2019-09-06,73.8982,469000
2019-09-05,73.9281,523300
2019-09-04,73.4501,845400
2019-09-03,72.8328,470800
2019-08-30,72.554,425800
2019-08-29,72.3549,370600
2019-08-28,71.5086,478000
2019-08-27,71.2995,571000
2019-08-26,70.9112,312700
2019-08-23,70.6922,365700
2019-08-22,71.5086,399800
2019-08-21,71.8869,402400
2019-08-20,71.9367,470900
2019-08-19,71.9766,404700
2019-08-16,71.6679,398200
2019-08-15,70.6822,482200
2019-08-14,70.2043,588100
2019-08-13,70.9311,637900
2019-08-12,70.3934,535700
2019-08-09,70.2043,651200
2019-08-08,69.4575,474400
2019-08-07,69.0194,712300
2019-08-06,68.5913,721000
2019-08-02,68.5116,413200
2019-08-01,68.651,748700
2019-07-31,68.1831,578900
2019-07-30,68.0138,473700
2019-07-29,68.5415,591700
2019-07-26,67.735,292400
2019-07-25,66.5104,429800
2019-07-24,66.1221,1004400
2019-07-23,67.5658,271000
2019-07-22,66.8987,177700
2019-07-19,66.5701,341100
2019-07-18,66.6199,319600
2019-07-17,66.6199,255800
2019-07-16,66.5701,510100
2019-07-15,66.8588,237400
2019-07-12,66.7892,356200
2019-07-11,67.2969,372000
2019-07-10,67.0182,399200
2019-07-09,66.7593,417500
2019-07-08,66.4705,351600
2019-07-05,66.7394,316600
2019-07-04,66.8588,102900
2019-07-03,66.9485,369200
2019-07-02,66.4407,496400
2019-06-28,66.7593,468600
2019-06-27,66.7493,383700
2019-06-26,66.3212,386000
2019-06-25,66.7095,376800
2019-06-24,66.9086,653400
2019-06-21,67.048,1818400
2019-06-20,69.2883,323000
2019-06-19,69.9852,349800
2019-06-18,69.816,439400
2019-06-17,69.7363,627500
2019-06-14,69.119,393500
2019-06-13,69.1787,593100
2019-06-12,69.6816,559800
2019-06-11,69.3346,495700
2019-06-10,69.6518,902500
2019-06-07,70.1276,320400
2019-06-06,70.0285,380500
2019-06-05,70.088,467800
2019-06-04,69.2256,582200
2019-06-03,68.8192,479300
2019-05-31,68.7498,645500
2019-05-30,68.73,467500
2019-05-29,68.9679,675300
2019-05-28,70.1672,1146000
2019-05-27,69.7608,529800
2019-05-24,69.3445,468500
2019-05-23,69.3842,920700
2019-05-22,69.295,684900
2019-05-21,69.176,730200
2019-05-17,69.3545,612100
2019-05-16,69.5923,712000
2019-05-15,68.4525,552900
2019-05-14,68.502,702900
2019-05-13,67.1936,535600
2019-05-10,67.3721,746800
2019-05-09,67.7685,873300
2019-05-08,66.9558,1056900
2019-05-07,66.8368,923600
2019-05-06,65.4491,596300
2019-05-03,64.6562,348600
2019-05-02,64.676,490200
2019-05-01,63.774,603000
2019-04-30,65.0526,441600
2019-04-29,64.7355,284100
2019-04-26,64.5471,361900
2019-04-25,64.785,293400
2019-04-24,64.3092,653300
2019-04-23,65.4789,489000
2019-04-22,65.7366,153100
2019-04-18,65.7762,524800
2019-04-17,65.2707,350200
2019-04-16,65.5978,401300
2019-04-15,65.7564,388500
2019-04-12,65.8159,520700
2019-04-11,65.9546,429200
2019-04-10,66.0835,439700
2019-04-09,65.915,325400
2019-04-08,65.8952,367300
2019-04-05,66.0141,356500
2019-04-04,66.2817,389500
2019-04-03,66.3908,619400
2019-04-02,65.9844,375100
2019-04-01,65.3797,420900
2019-03-29,65.3401,453100
2019-03-28,65.8753,428300
2019-03-27,65.4491,586600
2019-03-26,64.9634,523900
2019-03-25,65.2806,429600
2019-03-22,65.0526,655300
2019-03-21,65.1518,424900
2019-03-20,64.1209,374800
2019-03-19,64.557,573900
2019-03-18,64.894,465200
2019-03-15,65.0824,1613000
2019-03-14,64.4381,778500
2019-03-13,64.0367,710300
2019-03-12,64.1353,576000
2019-03-11,64.0959,741700
2019-03-08,63.9183,484800
2019-03-07,64.3425,626600
2019-03-06,64.1057,468500
2019-03-05,63.9084,490500
2019-03-04,64.4511,435400
2019-03-01,64.0268,482400
2019-02-28,64.6681,713500
2019-02-27,64.7668,501100
2019-02-26,64.5399,625300
2019-02-25,64.086,712700
2019-02-22,63.2374,995000
2019-02-21,64.6287,1305100
2019-02-20,65.6548,469000
2019-02-19,65.8028,349800
2019-02-15,65.8324,472100
2019-02-14,65.9607,614900
2019-02-13,65.6351,296700
2019-02-12,66.0692,456700
2019-02-11,65.4772,398600
2019-02-08,65.7436,248300
2019-02-07,65.6548,382200
2019-02-06,65.6844,394600
2019-02-05,65.1714,471800
2019-02-04,63.6617,331100
2019-02-01,63.1092,261100
2019-01-31,62.7836,371800
2019-01-30,62.2606,579700
2019-01-29,62.5665,445000
2019-01-28,62.7145,383600
2019-01-25,62.3593,547300
2019-01-24,62.4283,815500
2019-01-23,62.5961,799400
2019-01-22,63.0796,593200
2019-01-21,62.8526,381400
2019-01-18,62.7836,1073500
2019-01-17,63.4446,738200
2019-01-16,63.3262,860800
2019-01-15,63.7604,567600
2019-01-14,63.2177,739000
2019-01-11,63.0105,668100
2019-01-10,62.0534,596800
2019-01-09,61.6488,643000
2019-01-08,61.0272,601100
2019-01-07,60.5536,724700
2019-01-04,59.9912,444100
2019-01-03,59.8629,617800
2019-01-02,60.2379,626700
2018-12-31,60.2971,365500
2018-12-28,59.7939,679100
2018-12-27,59.932,698800
2018-12-24,59.636,382100
2018-12-21,59.8827,1524900
2018-12-20,59.6162,540200
2018-12-19,60.3168,713900
2018-12-18,60.1885,1162900
2018-12-17,60.1293,672200
2018-12-14,59.8925,581200
2018-12-13,61.2542,607800
2018-12-12,60.6769,902800
2018-12-11,60.6082,764000
2018-12-10,61.217,861200
2018-12-07,59.911,951600
2018-12-06,60.9126,951000
2018-12-05,60.9519,959700
2018-12-04,60.1467,743700
2018-12-03,60.3529,680400
2018-11-30,60.186,759800
2018-11-29,60.2252,1046600
2018-11-28,59.4986,764800
2018-11-27,60.0288,630700
2018-11-26,59.9208,917900
2018-11-23,59.9012,464100
2018-11-22,58.9585,299800
2018-11-21,59.2825,1229100
2018-11-20,57.4953,702300
2018-11-19,57.731,816500
2018-11-16,57.6917,540800
2018-11-15,57.8096,800200
2018-11-14,57.6524,784500
2018-11-13,57.5444,633900
2018-11-12,57.8194,718200
2018-11-09,57.2793,1001900
2018-11-08,56.6606,888100
2018-11-07,55.7867,1011500
2018-11-06,54.3137,606900
2018-11-05,53.6067,978700
2018-11-02,51.1615,930900
2018-11-01,51.4675,1104100
2018-10-31,51.9727,699500
2018-10-30,51.7674,374600
2018-10-29,51.278,541500
2018-10-26,51.0175,535200
2018-10-25,51.278,550400
2018-10-24,51.8227,591500
2018-10-23,51.6885,561200
2018-10-22,51.6253,586700
2018-10-19,52.0279,690600
2018-10-18,50.9386,706700
2018-10-17,50.7097,772000
2018-10-16,50.3939,623100
2018-10-15,50.1887,607100
2018-10-12,50.1492,754900
