date,price,volume
2019-10-25,54.92,338100
2019-10-24,54.95,296500
2019-10-23,55.1,516000
2019-10-22,55.6879,247800
2019-10-21,55.927,320200
2019-10-18,55.7477,633400
2019-10-17,56.0266,700600
2019-10-16,55.8573,435900
2019-10-15,56.3853,627000
2019-10-11,56.206,384100
2019-10-10,56.9931,471700
2019-10-09,57.5312,467000
2019-10-08,57.4814,598900
2019-10-07,57.9397,568100
2019-10-04,57.6009,579200
2019-10-03,57.7902,976400
2019-10-02,57.8401,669800
2019-10-01,57.4216,798300
2019-09-30,58.119,530100
2019-09-27,57.7006,389600
2019-09-26,58.0493,532200
2019-09-25,58.3084,413800
2019-09-24,58.1689,612500
2019-09-23,57.3419,339700
2019-09-20,57.1027,2099700
2019-09-19,56.9533,532200
2019-09-18,56.7939,770400
2019-09-17,56.9433,452100
2019-09-16,56.0167,717900
2019-09-13,57.302,506800
2019-09-12,56.9632,517100
2019-09-11,57.2422,567700
2019-09-10,57.1924,790900
2019-09-09,57.6906,710400
2019-09-06,57.6806,527200
2019-09-05,57.4315,776100
2019-09-04,56.6643,589700
2019-09-03,56.3554,468900
2019-08-30,56.0864,503900
2019-08-29,55.7886,642500
2019-08-28,55.1333,291700
2019-08-27,54.6567,516500
2019-08-26,54.1206,226800
2019-08-23,53.7929,369000
2019-08-22,54.3688,413100
2019-08-21,54.4383,306100
2019-08-20,54.3787,449500
2019-08-19,54.6071,404600
2019-08-16,53.9121,494100
2019-08-15,53.5944,567200
2019-08-14,53.366,735500
2019-08-13,53.0781,581000
2019-08-12,52.671,409900
2019-08-09,52.4923,390400
2019-08-08,52.4426,503100
2019-08-07,52.4923,482400
2019-08-06,51.976,726300
2019-08-02,51.7774,342200
2019-08-01,52.1646,500800
2019-07-31,51.2512,397400
2019-07-30,51.3108,379900
2019-07-29,51.7874,444100
2019-07-26,51.003,306900
2019-07-25,50.3775,316900
2019-07-24,49.8513,420700
2019-07-23,49.8116,320500
2019-07-22,49.2258,191200
2019-07-19,49.0272,232700
2019-07-18,49.2159,218100
2019-07-17,49.2854,370600
2019-07-16,49.3151,331200
2019-07-15,49.3449,373500
2019-07-12,49.2059,463700
2019-07-11,49.2754,468600
2019-07-10,49.2456,604400
2019-07-09,48.8882,445500
2019-07-08,49.0471,352600
2019-07-05,49.1761,350000
2019-07-04,48.8981,151000
2019-07-03,48.9081,283600
2019-07-02,48.7591,417900
2019-06-28,48.7889,613700
2019-06-27,48.8485,370700
2019-06-26,48.5904,508500
2019-06-25,48.9974,592500
2019-06-24,49.1563,390600
2019-06-21,49.5534,1672900
2019-06-20,49.8414,472100
2019-06-19,50.9434,367600
2019-06-18,50.9236,512500
2019-06-17,50.6356,397100
2019-06-14,50.1591,419400
2019-06-13,50.0002,387100
2019-06-12,49.9605,331200
2019-06-11,49.7024,389800
2019-06-10,49.5336,276300
2019-06-07,49.8414,359500
2019-06-06,49.8116,316000
2019-06-05,49.9704,701200
2019-06-04,49.2953,433700
2019-06-03,49.1761,356700
2019-05-31,48.9776,647800
2019-05-30,49.2159,469600
2019-05-29,48.9478,696800
2019-05-28,48.918,1324000
2019-05-27,49.2159,135500
