Category: All categories

Month,Stock: (Canada)
2004-01,17
2004-02,17
2004-03,15
2004-04,14
2004-05,13
2004-06,12
2004-07,11
2004-08,12
2004-09,11
2004-10,12
2004-11,14
2004-12,13
2005-01,13
2005-02,15
2005-03,15
2005-04,13
2005-05,12
2005-06,12
2005-07,11
2005-08,13
2005-09,13
2005-10,14
2005-11,14
2005-12,13
2006-01,16
2006-02,16
2006-03,18
2006-04,15
2006-05,13
2006-06,11
2006-07,11
2006-08,11
2006-09,11
2006-10,13
2006-11,14
2006-12,13
2007-01,14
2007-02,15
2007-03,14
2007-04,14
2007-05,13
2007-06,13
2007-07,14
2007-08,14
2007-09,13
2007-10,15
2007-11,16
2007-12,12
2008-01,17
2008-02,14
2008-03,15
2008-04,14
2008-05,14
2008-06,13
2008-07,14
2008-08,11
2008-09,18
2008-10,29
2008-11,21
2008-12,17
2009-01,17
2009-02,17
2009-03,20
2009-04,18
2009-05,17
2009-06,15
2009-07,14
2009-08,16
2009-09,16
2009-10,16
2009-11,16
2009-12,14
2010-01,15
2010-02,15
2010-03,17
2010-04,16
2010-05,16
2010-06,14
2010-07,13
2010-08,14
2010-09,14
2010-10,16
2010-11,17
2010-12,15
2011-01,17
2011-02,17
2011-03,17
2011-04,15
2011-05,13
2011-06,13
2011-07,13
2011-08,20
2011-09,14
2011-10,16
2011-11,15
2011-12,13
2012-01,15
2012-02,16
2012-03,15
2012-04,14
2012-05,17
2012-06,14
2012-07,13
2012-08,14
2012-09,14
2012-10,15
2012-11,16
2012-12,15
2013-01,21
2013-02,20
2013-03,17
2013-04,16
2013-05,17
2013-06,16
2013-07,16
2013-08,16
2013-09,19
2013-10,20
2013-11,19
2013-12,18
2014-01,21
2014-02,21
2014-03,20
2014-04,20
2014-05,18
2014-06,18
2014-07,19
2014-08,18
2014-09,20
2014-10,21
2014-11,20
2014-12,21
2015-01,23
2015-02,23
2015-03,21
2015-04,22
2015-05,20
2015-06,20
2015-07,24
2015-08,27
2015-09,24
2015-10,25
2015-11,26
2015-12,25
2016-01,33
2016-02,35
2016-03,35
2016-04,34
2016-05,33
2016-06,34
2016-07,35
2016-08,34
2016-09,34
2016-10,36
2016-11,49
2016-12,42
2017-01,42
2017-02,48
2017-03,50
2017-04,47
2017-05,46
2017-06,45
2017-07,42
2017-08,41
2017-09,43
2017-10,50
2017-11,70
2017-12,70
2018-01,98
2018-02,81
2018-03,71
2018-04,63
2018-05,63
2018-06,68
2018-07,63
2018-08,77
2018-09,92
2018-10,100
2018-11,79
2018-12,71
2019-01,75
2019-02,74
2019-03,80
2019-04,73
2019-05,76
2019-06,65
2019-07,68
2019-08,74
2019-09,63
2019-10,64
