date,price,volume
2019-10-23,34.45,467906
2019-10-22,35.02,469645
2019-10-21,34.92,491852
2019-10-18,34.84,458759
2019-10-17,35.13,576685
2019-10-16,34.7,805510
2019-10-15,34.92,386557
2019-10-11,35.13,615587
2019-10-10,35.38,865449
2019-10-09,35.958,433538
2019-10-08,36.3368,441693
2019-10-07,36.8151,367664
2019-10-04,36.6058,690820
2019-10-03,36.6756,1192967
2019-10-02,36.1374,385020
2019-10-01,35.9281,421071
2019-09-30,35.7487,450567
2019-09-27,35.7089,775097
2019-09-26,35.8683,838961
2019-09-25,36.3368,414431
2019-09-24,36.7055,515871
2019-09-23,35.8683,268245
2019-09-20,35.7188,834963
2019-09-19,35.8683,302097
2019-09-18,35.689,400800
2019-09-17,35.6591,429435
2019-09-16,35.2006,380974
2019-09-13,35.8883,375145
2019-09-12,35.5195,555150
2019-09-11,35.7487,494078
2019-09-10,36.1275,531180
2019-09-09,36.845,329270
2019-09-06,36.9746,316179
2019-09-05,37.0543,415805
2019-09-04,37.0444,485664
2019-09-03,36.4165,427556
2019-08-30,36.6058,467138
2019-08-29,36.7553,254221
2019-08-28,37.2337,450476
2019-08-27,36.6656,615673
2019-08-26,35.978,336123
2019-08-23,35.8085,326450
2019-08-22,35.9979,397779
2019-08-21,36.1873,321366
2019-08-20,36.3168,400699
2019-08-19,36.566,271280
2019-08-16,36.5859,281167
2019-08-15,36.2371,275543
2019-08-14,36.3268,537658
2019-08-13,36.3069,551403
2019-08-12,35.8584,330338
2019-08-09,35.8783,229239
2019-08-08,35.7687,305639
2019-08-07,35.4996,335808
2019-08-06,35.3501,324001
2019-08-02,35.3999,291849
2019-08-01,35.7388,595023
2019-07-31,34.8119,487217
2019-07-30,34.8119,517392
2019-07-29,34.9315,531425
2019-07-26,34.8518,404745
2019-07-25,34.5129,898053
2019-07-24,34.3834,602168
2019-07-23,34.0146,438642
2019-07-22,33.8053,294916
2019-07-19,33.626,366628
2019-07-18,33.5064,401617
2019-07-17,33.596,405947
2019-07-16,33.4266,286203
2019-07-15,33.6658,329688
2019-07-12,33.4466,560502
2019-07-11,33.1874,631718
2019-07-10,32.8597,557621
2019-07-09,32.7008,683472
2019-07-08,32.5618,439166
2019-07-05,32.6015,371288
2019-07-04,32.7902,292291
2019-07-03,33.2172,755802
2019-07-02,32.0752,818519
2019-06-28,32.7505,699831
2019-06-27,32.7406,1059963
2019-06-26,31.1318,734381
2019-06-25,30.8041,411576
2019-06-24,30.9531,1152557
2019-06-21,31.112,918253
2019-06-20,31.4496,351009
2019-06-19,32.0355,481559
2019-06-18,31.9362,598269
2019-06-17,32.0752,349268
2019-06-14,31.6184,450885
2019-06-13,31.4298,375380
2019-06-12,30.9928,263518
2019-06-11,30.8141,223154
2019-06-10,30.685,261931
2019-06-07,30.7843,304354
2019-06-06,30.973,262299
2019-06-05,31.2411,270317
2019-06-04,0.0,0
2019-06-03,30.7048,396594
2019-05-31,30.9432,396660
2019-05-30,31.0822,152729
2019-05-29,30.9134,494892
2019-05-28,31.0425,396140
2019-05-27,31.2609,87614
2019-05-24,31.0623,251646
2019-05-23,31.39,572602
2019-05-22,31.1219,476190
2019-05-21,30.8339,476267
2019-05-17,31.0524,320575
2019-05-16,31.1616,584495
2019-05-15,30.8737,310712
2019-05-14,31.2311,384050
2019-05-13,30.675,227942
2019-05-10,30.4963,584249
2019-05-09,30.8538,420859
2019-05-08,30.3871,491960
2019-05-07,30.3573,332771
2019-05-06,29.9303,148048
2019-05-03,29.7317,269452
2019-05-02,30.1984,205630
2019-05-01,29.7515,694523
2019-04-30,29.5926,608676
2019-04-29,29.4238,217920
2019-04-26,29.3742,266881
2019-04-25,29.7317,827564
2019-04-24,29.1259,359264
2019-04-23,29.4536,411681
2019-04-22,29.4635,119890
2019-04-18,29.5231,495801
2019-04-17,29.1755,711169
2019-04-16,29.6026,334529
2019-04-15,29.682,446744
2019-04-12,30.1587,444428
2019-04-11,29.8806,1770764
2019-04-10,29.6234,493745
2019-04-09,29.6333,661958
2019-04-08,29.0396,2495837
2019-04-05,29.0099,369556
2019-04-04,29.1188,353399
2019-04-03,29.2078,455969
2019-04-02,28.9308,783176
2019-04-01,28.7329,805595
2019-03-29,28.624,468201
2019-03-28,28.3272,834613
2019-03-27,28.2481,690224
2019-03-26,28.2678,569050
2019-03-25,28.4954,385531
2019-03-22,28.5845,868408
2019-03-21,28.535,572979
2019-03-20,28.0799,491069
2019-03-19,28.2085,934405
2019-03-18,28.0502,523237
2019-03-15,28.3173,754090
2019-03-14,28.0799,749685
2019-03-13,28.4558,809743
2019-03-12,28.1392,825623
2019-03-11,29.1682,388830
2019-03-08,29.0099,237221
2019-03-07,29.3958,550980
2019-03-06,29.3859,411889
2019-03-05,30.1379,431848
2019-03-04,30.2962,307268
2019-03-01,30.1379,404188
2019-02-28,30.2467,513133
2019-02-27,30.3259,455819
2019-02-26,30.0587,513412
2019-02-25,30.4347,750468
2019-02-22,30.6128,354715
2019-02-21,30.6524,459069
2019-02-20,30.6029,619629
2019-02-19,30.2566,482796
2019-02-15,30.405,374764
2019-02-14,30.7513,345919
2019-02-13,30.4842,238558
2019-02-12,30.6524,320198
2019-02-11,30.3753,197618
2019-02-08,30.5336,282392
2019-02-07,30.3951,414830
2019-02-06,30.781,443263
2019-02-05,30.5831,403578
2019-02-04,29.5937,319248
2019-02-01,29.4354,317177
2019-01-31,29.2276,623619
2019-01-30,29.2375,436250
2019-01-29,29.2771,500522
2019-01-28,29.7619,357767
2019-01-25,29.6135,402794
2019-01-24,29.8509,949327
2019-01-23,29.9697,596290
2019-01-22,29.8806,481562
2019-01-21,29.5838,145441
2019-01-18,29.7619,520156
2019-01-17,29.4947,347923
2019-01-16,29.8905,383490
2019-01-15,29.6333,720969
2019-01-14,30.1576,594513
2019-01-11,29.376,467721
2019-01-10,29.3464,510361
2019-01-09,29.4647,1092813
2019-01-08,28.5972,828627
2019-01-07,28.2719,612767
2019-01-04,27.4735,683671
2019-01-03,27.9959,450790
2019-01-02,28.0945,334320
2018-12-31,28.4198,358693
2018-12-28,27.7889,327479
2018-12-27,28.1142,358789
2018-12-24,27.6509,181510
2018-12-21,27.7002,793755
2018-12-20,28.1734,763597
2018-12-19,28.3015,2032173
2018-12-18,28.0551,2103059
2018-12-17,28.1339,1158586
2018-12-14,28.617,872269
2018-12-13,28.1044,1801880
2018-12-12,25.3935,719961
2018-12-11,24.6739,788530
2018-12-10,25.147,359857
2018-12-07,25.009,612939
2018-12-06,25.3738,564591
2018-12-05,24.8809,173848
2018-12-04,24.9203,382233
2018-12-03,25.1766,573406
2018-11-30,24.8119,685307
2018-11-29,24.9597,502384
2018-11-28,24.5753,513833
2018-11-27,24.8316,406467
2018-11-26,25.0682,509650
2018-11-23,25.0682,195055
2018-11-22,25.0485,167476
2018-11-21,24.9992,1482228
2018-11-20,24.3387,432248
2018-11-19,24.4077,312293
2018-11-16,24.5852,392248
2018-11-15,24.388,363421
2018-11-14,24.1218,314845
2018-11-13,23.974,652295
2018-11-12,24.3091,257709
2018-11-09,23.9641,339952
2018-11-08,23.8655,464535
2018-11-07,23.6388,870741
2018-11-06,23.1558,441083
2018-11-05,23.2642,717973
2018-11-02,23.0966,361417
2018-11-01,23.2938,326665
2018-10-31,23.6092,488094
2018-10-30,23.3825,380708
2018-10-29,22.9192,346812
2018-10-26,23.1459,272680
2018-10-25,23.3234,484161
2018-10-24,23.1755,882225
2018-10-23,23.629,1088537
2018-10-22,23.0375,577741
2018-10-19,23.0671,602460
2018-10-18,22.5643,414491
2018-10-17,22.377,404625
2018-10-16,22.5347,253797
2018-10-15,22.6136,326487
2018-10-12,22.6826,696836
2018-10-11,22.5446,870519
2018-10-10,22.6133,843694
2018-10-09,22.4073,524562
2018-10-05,22.4661,342557
2018-10-04,22.6525,593938
2018-10-03,22.6133,398223
2018-10-02,22.8487,417115
2018-10-01,22.7016,357927
2018-09-28,23.094,529583
2018-09-27,23.3491,450305
2018-09-26,23.4177,675855
2018-09-25,23.3196,427909
2018-09-24,22.8193,730033
2018-09-21,22.2601,637361
2018-09-20,22.8095,547480
2018-09-19,22.4956,768817
2018-09-18,22.7899,518500
2018-09-17,22.5544,501314
2018-09-14,22.937,895864
2018-09-13,23.7905,988706
2018-09-12,24.5852,545309
2018-09-11,24.8991,400856
2018-09-10,24.4577,289457
2018-09-07,24.6244,414379
2018-09-06,24.5852,503921
2018-09-05,24.1732,378425
2018-09-04,23.8592,355955
2018-08-31,24.4086,432171
2018-08-30,24.7912,342960
2018-08-29,24.4478,362784
2018-08-28,24.5361,256210
2018-08-27,24.7422,344348
2018-08-24,24.7029,269153
2018-08-23,24.7716,311037
2018-08-22,24.5558,327592
2018-08-21,24.8697,361117
2018-08-20,24.8305,239752
2018-08-17,24.8403,397957
2018-08-16,25.0855,666652
2018-08-15,24.4184,500217
2018-08-14,24.2614,591527
2018-08-13,23.9769,370616
2018-08-10,24.1535,398117
2018-08-09,24.6342,389317
2018-08-08,24.958,408256
2018-08-07,24.6931,518733
2018-08-03,25.6251,330107
2018-08-02,25.5368,319415
2018-08-01,25.8213,328608
2018-07-31,26.3118,491940
2018-07-30,25.8998,262429
2018-07-27,26.1058,184779
2018-07-26,25.8409,249256
2018-07-25,26.0273,171492
2018-07-24,25.9685,406386
2018-07-23,26.2824,453461
2018-07-20,25.9685,394767
2018-07-19,26.1058,476252
2018-07-18,26.2334,427946
2018-07-17,26.3413,417960
2018-07-16,26.2922,458003
2018-07-13,26.0077,240580
2018-07-12,26.0372,236663
2018-07-11,25.8115,389675
2018-07-10,25.7529,546680
2018-07-09,25.8897,437816
2018-07-06,25.6845,711005
2018-07-05,24.8932,479424
2018-07-04,25.4012,145145
2018-07-03,25.6552,590905
2018-06-29,25.7822,618867
2018-06-28,26.0558,1346754
2018-06-27,25.0397,759241
2018-06-26,25.0983,1130594
2018-06-25,24.8639,842903
2018-06-22,24.9713,369400
2018-06-21,24.8736,348689
2018-06-20,25.0397,969058
2018-06-19,24.1604,439931
2018-06-18,24.4047,432963
2018-06-15,24.4535,1009330
2018-06-14,23.9944,297667
2018-06-13,23.6036,352107
2018-06-12,23.8869,715578
2018-06-11,23.4961,324540
2018-06-08,23.6231,527479
2018-06-07,23.1835,613027
2018-06-06,23.3398,529875
2018-06-05,24.2288,315704
2018-06-04,24.2288,387028
2018-06-01,24.5317,537417
2018-05-31,24.3851,705575
2018-05-30,24.6098,374958
2018-05-29,24.1604,420701
2018-05-28,23.9455,127058
2018-05-25,24.0041,469946
2018-05-24,23.6329,560604
2018-05-23,23.838,531899
2018-05-22,23.5156,748342
2018-05-18,23.3593,330822
2018-05-17,23.4277,216445
2018-05-16,23.6719,400243
2018-05-15,24.0041,407453
2018-05-14,24.0432,472770
2018-05-11,24.053,273036
2018-05-10,24.5121,265287
2018-05-09,24.4731,239768
2018-05-08,24.3656,241656
2018-05-07,24.4144,170864
2018-05-04,24.434,127318
2018-05-03,24.4926,655889
2018-05-02,24.3949,449366
2018-05-01,24.2386,254472
2018-04-30,24.2581,390222
2018-04-27,24.4828,82694
2018-04-26,24.4242,244956
2018-04-25,23.9064,797823
2018-04-24,23.7501,438440
2018-04-23,23.6329,655310
2018-04-20,23.4082,236868
2018-04-19,23.2323,385056
2018-04-18,23.203,387808
2018-04-17,23.3691,528502
2018-04-16,23.6426,335689
2018-04-13,23.711,276197
2018-04-12,24.1214,275367
2018-04-11,24.1165,319557
2018-04-10,24.0581,348634
2018-04-09,24.3013,347234
2018-04-06,23.9803,294827
2018-04-05,24.1846,270827
2018-04-04,24.4278,626314
2018-04-03,23.9414,737636
2018-04-02,24.6029,289551
2018-03-29,25.1574,437766
2018-03-28,24.9823,613652
2018-03-27,24.7488,565625
2018-03-26,24.778,558730
2018-03-23,24.5153,390951
2018-03-22,24.6126,693097
2018-03-21,24.8072,2031268
2018-03-20,24.9336,863460
2018-03-19,24.2235,418655
2018-03-16,23.3966,666377
2018-03-15,23.8635,651087
2018-03-14,23.9414,1007141
2018-03-13,22.9296,311376
2018-03-12,23.1826,329706
2018-03-09,23.6398,246304
2018-03-08,23.5717,210123
2018-03-07,22.9977,161200
2018-03-06,23.2312,188278
2018-03-05,22.9296,191281
2018-03-02,22.6183,304901
2018-03-01,22.521,327368
2018-02-28,23.1145,515972
2018-02-27,23.3577,278540
2018-02-26,22.5989,181520
2018-02-23,22.5794,125195
2018-02-22,0.0,0
2018-02-21,22.3848,174856
2018-02-20,22.7156,244653
2018-02-16,22.8615,248829
2018-02-15,22.4821,155242
2018-02-14,22.628,355889
2018-02-13,22.307,222931
2018-02-12,22.4529,284039
2018-02-09,21.879,321129
2018-02-08,22.3556,360369
2018-02-07,22.521,327575
2018-02-06,22.4237,362888
2018-02-05,22.2486,430562
2018-02-02,22.6767,236552
2018-02-01,22.7934,450768
2018-01-31,23.1534,702981
2018-01-30,23.3188,293049
2018-01-29,23.5133,351017
2018-01-26,24.3208,456019
2018-01-25,24.6418,240281
2018-01-24,24.8364,229124
2018-01-23,25.1769,194486
2018-01-22,25.0796,322863
2018-01-19,24.8072,271548
2018-01-18,24.4375,257403
2018-01-17,24.3694,258216
2018-01-16,24.3402,333116
2018-01-15,23.776,90705
2018-01-12,23.8538,211465
2018-01-11,23.9754,383578
2018-01-10,23.772,311868
2018-01-09,23.9851,236305
2018-01-08,23.8785,303085
2018-01-05,23.7235,189779
2018-01-04,23.9948,307852
2018-01-03,23.4911,288124
2018-01-02,23.7817,226124
2017-12-29,23.7235,144645
2017-12-28,23.7235,210073
2017-12-27,23.7914,162431
2017-12-22,23.4911,155175
2017-12-21,23.2586,304671
2017-12-20,23.5976,300373
2017-12-19,23.4329,360336
2017-12-18,23.5395,287417
2017-12-15,23.2586,1003861
2017-12-14,23.0842,797249
2017-12-13,23.8204,747287
2017-12-12,25.3316,336284
2017-12-11,25.2444,405281
2017-12-08,25.041,417095
2017-12-07,24.8085,281435
2017-12-06,24.9441,673240
2017-12-05,24.0917,530524
2017-12-04,24.5276,379854
2017-12-01,24.8182,634184
2017-11-30,24.0432,643438
2017-11-29,24.0238,209837
2017-11-28,23.7623,307135
2017-11-27,24.0917,162573
2017-11-24,24.1401,122441
2017-11-23,23.8882,132017
2017-11-22,24.1788,291398
2017-11-21,23.9851,182258
2017-11-20,23.9948,369081
2017-11-17,23.6267,328273
2017-11-16,23.8689,446452
2017-11-15,24.3241,276545
2017-11-14,24.3726,378267
2017-11-13,24.2466,230718
2017-11-10,24.392,758450
2017-11-09,24.082,809264
2017-11-08,23.8785,698483
2017-11-07,23.2005,281707
2017-11-06,23.1617,437590
2017-11-03,22.9873,402416
2017-11-02,22.4449,378437
2017-11-01,22.2996,482971
2017-10-31,21.6311,220885
2017-10-30,22.0671,151336
2017-10-27,21.8346,194407
2017-10-26,22.2221,176141
2017-10-25,22.1349,221938
2017-10-24,22.2705,604835
2017-10-23,22.2705,310997
2017-10-20,22.3189,255280
2017-10-19,22.2802,391145
2017-10-18,21.8443,262675
2017-10-17,21.6505,158806
2017-10-16,21.6699,304681
2017-10-13,21.8443,419129
2017-10-12,21.8346,416881
2017-10-11,21.3938,477166
2017-10-10,21.0564,365583
2017-10-06,21.4227,265515
2017-10-05,21.5866,238820
2017-10-04,21.6734,444260
2017-10-03,21.7602,391896
2017-10-02,21.3456,269505
2017-09-29,21.2878,398038
2017-09-28,21.1431,330354
2017-09-27,21.2396,469420
2017-09-26,21.3649,401490
2017-09-25,21.5288,617317
2017-09-22,21.6445,444933
2017-09-21,22.0976,378580
2017-09-20,22.6086,520557
2017-09-19,22.6086,927603
2017-09-18,22.4158,567012
2017-09-15,23.1389,2200956
2017-09-14,21.7987,1585391
2017-09-13,19.0414,593111
2017-09-12,18.7521,294071
2017-09-11,19.0703,1669413
2017-09-08,18.6172,423721
2017-09-07,18.5111,468940
2017-09-06,18.6172,443876
2017-09-05,19.0317,822275
2017-09-01,19.292,418082
2017-08-31,20.2369,237722
2017-08-30,20.2465,137428
2017-08-29,20.2465,216714
2017-08-28,20.4297,110716
2017-08-25,20.6611,208174
2017-08-24,20.6707,179765
2017-08-23,20.9889,205836
2017-08-22,20.584,212063
2017-08-21,20.6129,92157
2017-08-18,20.6996,302466
2017-08-17,20.5743,180587
2017-08-16,20.5068,381944
2017-08-15,20.4586,395672
2017-08-14,20.044,276742
2017-08-11,19.8898,188435
2017-08-10,19.7162,456221
2017-08-09,19.5138,341313
2017-08-08,19.6873,236038
2017-08-04,19.6584,245162
2017-08-03,19.6873,219854
2017-08-02,19.8898,340251
2017-08-01,19.668,255829
2017-07-31,19.5331,339903
2017-07-28,19.4945,374626
2017-07-27,19.5331,633141
2017-07-26,20.2947,370666
2017-07-25,20.825,352444
2017-07-24,20.8443,338957
2017-07-21,20.9214,360626
2017-07-20,20.9985,127185
2017-07-19,20.8732,281727
2017-07-18,20.8443,166920
2017-07-17,20.9214,255999
2017-07-14,21.1914,315083
2017-07-13,21.0082,281130
2017-07-12,21.2685,307579
