Category: All categories

Month,Loblaws: (Canada)
2004-01,27
2004-02,27
2004-03,24
2004-04,26
2004-05,29
2004-06,27
2004-07,34
2004-08,31
2004-09,28
2004-10,31
2004-11,29
2004-12,35
2005-01,31
2005-02,28
2005-03,34
2005-04,29
2005-05,31
2005-06,32
2005-07,34
2005-08,32
2005-09,31
2005-10,30
2005-11,30
2005-12,35
2006-01,32
2006-02,32
2006-03,32
2006-04,35
2006-05,36
2006-06,35
2006-07,39
2006-08,36
2006-09,35
2006-10,41
2006-11,35
2006-12,40
2007-01,35
2007-02,32
2007-03,30
2007-04,35
2007-05,37
2007-06,36
2007-07,39
2007-08,37
2007-09,40
2007-10,35
2007-11,39
2007-12,46
2008-01,36
2008-02,39
2008-03,42
2008-04,38
2008-05,48
2008-06,44
2008-07,41
2008-08,42
2008-09,38
2008-10,39
2008-11,42
2008-12,46
2009-01,40
2009-02,40
2009-03,36
2009-04,42
2009-05,42
2009-06,40
2009-07,42
2009-08,38
2009-09,38
2009-10,39
2009-11,40
2009-12,45
2010-01,37
2010-02,34
2010-03,35
2010-04,39
2010-05,37
2010-06,34
2010-07,36
2010-08,35
2010-09,36
2010-10,36
2010-11,32
2010-12,37
2011-01,34
2011-02,35
2011-03,32
2011-04,39
2011-05,39
2011-06,38
2011-07,37
2011-08,36
2011-09,40
2011-10,36
2011-11,39
2011-12,47
2012-01,38
2012-02,37
2012-03,36
2012-04,41
2012-05,39
2012-06,38
2012-07,38
2012-08,36
2012-09,39
2012-10,39
2012-11,36
2012-12,46
2013-01,36
2013-02,36
2013-03,39
2013-04,35
2013-05,45
2013-06,39
2013-07,47
2013-08,39
2013-09,41
2013-10,41
2013-11,38
2013-12,45
2014-01,37
2014-02,37
2014-03,37
2014-04,41
2014-05,40
2014-06,37
2014-07,38
2014-08,40
2014-09,38
2014-10,39
2014-11,37
2014-12,43
2015-01,38
2015-02,39
2015-03,40
2015-04,41
2015-05,44
2015-06,42
2015-07,47
2015-08,39
2015-09,41
2015-10,40
2015-11,39
2015-12,48
2016-01,35
2016-02,38
2016-03,41
2016-04,35
2016-05,39
2016-06,37
2016-07,40
2016-08,37
2016-09,40
2016-10,39
2016-11,35
2016-12,43
2017-01,37
2017-02,38
2017-03,35
2017-04,43
2017-05,41
2017-06,40
2017-07,44
2017-08,40
2017-09,42
2017-10,42
2017-11,43
2017-12,93
2018-01,100
2018-02,59
2018-03,84
2018-04,56
2018-05,56
2018-06,46
2018-07,47
2018-08,44
2018-09,43
2018-10,40
2018-11,42
2018-12,48
2019-01,37
2019-02,37
2019-03,33
2019-04,43
2019-05,38
2019-06,37
2019-07,37
2019-08,37
2019-09,35
2019-10,34
