Co_ID,Exchange,Name,"Root
Ticker"," QMV(C$)
31-August-2019 "," O/S Shares
31-August-2019 ",Sector,"Sub
Sector",Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","Interlisted
Code_II",Listed on OTC,"TSX 
Venture 
Grad","Former
CPC",Index,Clean Technology Primary Industry,Clean Technology Sub-Sector,Technology Sub-Sector ,"Consumer Products & Services
Sub-Sector",Real Estate Sub-Sector ,Life Sciences Sub-Sector,USA_City,USA_State,Asia Region,Israel Related,"Place of Incorporation
C=Canada
U=USA
F=Foreign",Fund Family,SP Grouping,SP_Type,SP_Sub,"Income Trust 
Conversion"," Volume YTD
31-August-2019 "," Value (C$) YTD
31-August-2019 "," Number of 
Trades YTD
31-August-2019 "," Number of
Months of 
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
FIV0003,TSX,5N Plus Inc.,VNP," 195,022,756 "," 83,343,058 ", Clean Technology ,,IPO,20071219,Quebec,Canada,,,,,,,Industrial Products & Services,Renewable Energy Equipment Manufacturing and Tech,,,,,,,,,C,,,,,," 11,223,232 "," 34,925,062 "," 17,687 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAW0001,TSX,A&W Revenue Royalties Income Fund,AW," 571,728,957 "," 14,064,673 ", Consumer Products & Services ,,,20020214,BC,Canada,,,,,,,,,,Consumer Discretionary,,,,,,,C,,Income Trust,,Business Trust,," 3,993,858 "," 167,438,692 "," 27,248 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0005,TSX,Aberdeen Asia-Pacific Income Investment Company Ltd.,FAP," 177,851,156 "," 50,814,616 ", Closed-End Funds ,,,19860611,USA,USA,,,,,,,,,,,,,Philadelphia,PA,,,F,Aberdeen,Other SPI,Fund of Equities,FI Trust,," 8,717,553 "," 32,356,147 "," 11,449 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABE0005,TSX,Aberdeen International Inc.,AAB," 4,802,614 "," 96,052,282 ", Financial Services ,,TSXV Grad,20080130,ON,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 19,325,727 "," 970,480 ", 798 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS0003,TSX,Absolute Software Corporation,ABT," 328,576,276 "," 41,697,497 ", Technology ,,TSXV Grad,20051202,BC,Canada,,,,1,,,,,Software,,,,,,,,C,,,,,," 20,236,020 "," 171,579,497 "," 61,700 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA0004,TSX,Acadian Timber Corp.,ADN," 270,494,908 "," 16,686,916 ", Industrial Products & Services ,Forest Products & Paper,IPO,20060130,BC,Canada,,,,,,,,,,,,,,,,,C,,,,,2010," 1,875,962 "," 31,006,439 "," 11,418 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA0006,TSX,Acasta Enterprises Inc.,AEF," 59,091,414 "," 73,864,268 ", Financial Services ,,QA,20170106,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 2,910,300 "," 857,891 ", 507 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0007,TSX,Accelerate Absolute Return Hedge Fund,HDGE," 1,085,000 "," 50,000 ", ETP ,,IPO,20190510,AB,Canada,,,,,,,,,,,,,,,,,C,Accelerate,ETP,Exchange Traded Funds,,," 2,400 "," 48,969 ", 25 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0008,TSX,Accelerate Enhanced Canadian Benchmark Alternative Fund,ATSX," 1,035,500 "," 50,000 ", ETP ,,IPO,20190510,AB,Canada,,,,,,,,,,,,,,,,,C,Accelerate,ETP,Exchange Traded Funds,,," 2,576 "," 51,514 ", 15 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0009,TSX,Accelerate Private Equity Alpha Fund,ALFA," 855,000 "," 50,000 ", ETP ,,IPO,20190510,AB,Canada,,,,,,,,,,,,,,,,,C,Accelerate,ETP,Exchange Traded Funds,,," 1,255 "," 22,874 ", 13 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0002,TSX,Accord Financial Corp.,ACD," 94,128,312 "," 8,652,283 ", Financial Services ,,,19920617,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 186,941 "," 2,964,982 ", 706 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI0056,TSX,Acerus Pharmaceuticals Corporation,ASP," 31,347,035 "," 261,225,290 ", Life Sciences ,,TSXV Grad,20110719,ON,Canada,,,,1,1,,,,,,,Pharmaceuticals,,,,,C,,,,,," 18,188,661 "," 2,434,513 "," 2,714 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-04034,TSX,AcuityAds Holdings Inc.,AT," 61,550,043 "," 47,713,212 ", Technology ,,TSXV Grad,20190626,ON,Canada,,,,1,1,,,,Internet Software & Services,,,,,,,,C,,,,,," 7,350,995 "," 10,161,290 "," 10,830 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADF0001,TSX,ADF Group Inc.,DRX," 21,035,914 "," 18,292,099 ", Industrial Products & Services ,,,19990720,Quebec,Canada,,,,,,,,,,,,,,,,,C,,,,,," 1,856,113 "," 2,222,731 "," 1,503 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV0011,TSX,Advantage Oil & Gas Ltd.,AAV," 276,628,055 "," 186,910,848 ", Oil & Gas ,,,20010529,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,2009," 110,488,714 "," 228,327,931 "," 183,532 ", 8 ,,,"AB,BC,SK",,,,,,1,,,,,,,,,,,,,,,,,,,
ADV0016,TSX,Advantaged Canadian High Yield Bond Fund,AHY," 15,832,708 "," 2,177,814 ", Closed-End Funds ,,IPO,20110330,ON,Canada,,,,,,,,,,,,,,,,,C,Scotia,Other SPI,Fund of Debt,FI Trust,," 129,158 "," 972,314 ", 210 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
