date,price,volume
2019-10-23,16335.9297,181906726
2019-10-22,16391.5,171772600
2019-10-21,16418.5,155105700
2019-10-18,16377.0996,166417400
2019-10-17,16426.3008,168397700
2019-10-16,16427.1992,165968300
2019-10-15,16418.4004,212333000
2019-10-11,16415.1992,200746600
2019-10-10,16422.6992,186014600
2019-10-09,16379.9004,168389300
2019-10-08,16294.0,198432200
2019-10-07,16421.8008,155833300
2019-10-04,16449.4004,183485000
2019-10-03,16369.0,237883100
2019-10-02,16311.0,218200100
2019-10-01,16447.6992,225195700
2019-09-30,16658.5996,200791800
2019-09-27,16694.3008,196461700
2019-09-26,16790.4004,204562400
2019-09-25,16784.3008,197464000
2019-09-24,16798.3008,207308500
2019-09-23,16867.1992,168552700
2019-09-20,16899.6992,501130200
2019-09-19,16858.4004,209325900
2019-09-18,16800.3008,232114900
2019-09-17,16834.8008,247102000
2019-09-16,16751.3008,307592600
2019-09-13,16682.4004,221919900
2019-09-12,16643.3008,267934400
2019-09-11,16611.0996,218707000
2019-09-10,16537.3008,238455800
2019-09-09,16495.0996,216894100
2019-09-06,16535.3008,185443700
2019-09-05,16574.8008,236406500
2019-09-04,16448.8008,201346000
2019-09-03,16399.1992,223316900
2019-08-30,16442.0996,177090400
2019-08-29,16384.5,183112200
2019-08-28,16271.7002,182417600
2019-08-27,16183.5996,232156300
2019-08-26,16098.7998,167942900
2019-08-23,16037.5996,227392200
2019-08-22,16253.5,145756500
2019-08-21,16309.2002,179093700
2019-08-20,16213.2998,165281200
2019-08-19,16304.0996,0
2019-08-16,16149.7998,0
2019-08-15,16012.5,202386000
2019-08-14,16045.9004,235438100
2019-08-13,16350.7998,227506600
2019-08-12,16237.7998,193944600
2019-08-09,16341.2998,210694000
2019-08-08,16404.5,230997900
2019-08-07,16265.2002,279764100
2019-08-06,16149.5,317366800
2019-08-02,16271.7002,240108500
2019-08-01,16377.0,304393300
2019-07-31,16406.5996,265480700
2019-07-30,16466.0996,181417800
2019-07-29,16492.1992,184840900
2019-07-26,16531.0,167192900
2019-07-25,16488.1992,209506500
2019-07-24,16611.8008,171778800
2019-07-23,16572.6992,148830300
2019-07-22,16518.9004,138546100
2019-07-19,16485.9004,164302800
2019-07-18,16494.1992,203717800
2019-07-17,16484.1992,165612900
2019-07-16,16502.4004,178472900
2019-07-15,16510.8008,147789200
2019-07-12,16488.0996,160587500
2019-07-11,16527.9004,190584700
2019-07-10,16563.3008,188751200
2019-07-09,16545.1992,159727900
2019-07-08,16463.0,172378100
2019-07-05,16542.0,133774100
2019-07-04,16588.9004,56637400
2019-07-03,16576.1992,143993900
2019-07-02,16471.3008,178238300
2019-06-28,16382.2002,207980500
2019-06-27,16307.7002,177472300
2019-06-26,16312.2002,211051800
2019-06-25,16371.2998,207158600
2019-06-24,16523.5,198177100
2019-06-21,16525.4004,493939000
2019-06-20,16574.8008,235060200
2019-06-19,16511.8008,190088100
2019-06-18,16503.4004,218953000
2019-06-17,16353.5,185238200
2019-06-14,16301.9004,170254100
2019-06-13,16239.2998,184289900
2019-06-12,16227.2002,190864300
2019-06-11,16248.7998,178845100
2019-06-10,16216.2998,172571600
2019-06-07,16231.0,171066300
2019-06-06,16227.7998,164790400
2019-06-05,16212.7002,230596500
2019-06-04,16166.2002,211115800
2019-06-03,16015.9004,223718800
2019-05-31,16037.5,224730200
2019-05-30,16089.2002,171203300
2019-05-29,16131.5,206795300
2019-05-28,16297.5,396196700
2019-05-27,16346.7002,73315600
2019-05-24,16230.0,192188500
2019-05-23,16164.5996,243742200
2019-05-22,16327.4004,197464300
2019-05-21,16426.5,218951700
2019-05-17,16401.8008,182489100
2019-05-16,16443.9004,207250700
2019-05-15,16318.0996,203556400
2019-05-14,16284.5,205376300
2019-05-13,16193.4004,232643800
2019-05-10,16297.5996,233580500
2019-05-09,16321.7998,224368300
2019-05-08,16397.4004,213596600
2019-05-07,16357.7998,248842000
2019-05-06,16493.5,197204000
2019-05-03,16494.4004,202157100
2019-05-02,16410.9004,255495300
2019-05-01,16502.8008,220860600
2019-04-30,16580.6992,207324200
2019-04-29,16600.4004,180944800
2019-04-26,16613.5,282659400
2019-04-25,16576.0996,278775000
2019-04-24,16586.5,212959200
2019-04-23,16669.4004,221708500
2019-04-22,16577.3008,169942700
2019-04-18,16612.8008,195729700
2019-04-17,16544.1992,333377300
2019-04-16,16502.1992,202476900
2019-04-15,16515.5,194884000
2019-04-12,16480.5,195851400
2019-04-11,16399.5,230076600
2019-04-10,16396.3008,213547500
2019-04-09,16336.5,175136900
2019-04-08,16407.3008,207573900
2019-04-05,16396.1992,170618000
2019-04-04,16311.5996,189917700
2019-04-03,16279.9004,224154600
2019-04-02,16263.9004,178277900
2019-04-01,16228.0996,233225700
2019-03-29,16102.0996,227955800
2019-03-28,16155.5,223248900
2019-03-27,16132.5,244631900
2019-03-26,16155.2002,242530400
2019-03-25,16065.9004,234398100
2019-03-22,16089.2998,325520900
2019-03-21,16244.5996,254945500
2019-03-20,16167.5996,261723000
2019-03-19,16188.0996,250958500
2019-03-18,16251.4004,231369100
2019-03-15,16140.4004,635539200
2019-03-14,16087.5996,196598800
2019-03-13,16150.0,271091300
2019-03-12,16136.7002,229111500
2019-03-11,16106.2002,250342300
2019-03-08,15996.2002,255412900
2019-03-07,16056.5,271719200
2019-03-06,16092.0996,272531800
2019-03-05,16086.5,256504000
2019-03-04,16038.0996,286358000
2019-03-01,16068.2998,243003500
2019-02-28,15999.0,304602900
2019-02-27,16074.2998,226354300
2019-02-26,16067.9004,266318500
2019-02-25,16057.0,219234400
2019-02-22,16013.0,222858800
2019-02-21,16000.9004,298529700
2019-02-20,16031.2002,268328500
2019-02-19,15937.4004,336230800
2019-02-15,15838.2002,255717300
2019-02-14,15696.0,305833800
2019-02-13,15626.7002,236823500
2019-02-12,15642.0996,248558800
2019-02-11,15568.9004,193012400
2019-02-08,15633.2998,211877800
2019-02-07,15703.4004,253785300
2019-02-06,15712.2998,218136700
2019-02-05,15702.7002,217732500
2019-02-04,15602.2998,245284400
2019-02-01,15506.2998,224777300
2019-01-31,15540.5996,286422200
2019-01-30,15484.5996,233825500
2019-01-29,15463.0996,233364800
2019-01-28,15378.5996,226010300
2019-01-25,15366.0996,216014400
2019-01-24,15280.7998,206075300
2019-01-23,15208.2998,210174500
2019-01-22,15233.7998,228363300
2019-01-21,15354.2002,92562500
2019-01-18,15303.7998,293702200
2019-01-17,15211.2002,257298500
2019-01-16,15111.2998,248816800
2019-01-15,15046.2998,241300600
2019-01-14,14975.5,228994500
2019-01-11,14939.2002,249299500
2019-01-10,14903.5,262984000
2019-01-09,14804.7002,269093100
2019-01-08,14605.2002,260100900
2019-01-07,14504.0996,257832000
2019-01-04,14426.5996,231237200
2019-01-03,14212.7998,211587200
2019-01-02,14347.2002,270319800
2018-12-31,14322.9004,171356600
2018-12-28,14222.0,266928600
2018-12-27,14165.2002,235414700
2018-12-24,13780.2002,170610500
2018-12-21,13935.4004,614345800
2018-12-20,14141.7998,308247100
2018-12-19,14264.0996,370363000
2018-12-18,14416.9004,386847800
2018-12-17,14362.7002,264315200
2018-12-14,14595.0996,277086200
2018-12-13,14750.4004,264774700
2018-12-12,14783.0996,268233000
2018-12-11,14667.7998,275639600
2018-12-10,14728.2998,275806900
2018-12-07,14795.0996,311247900
2018-12-06,14937.0,28338700
2018-12-05,15182.5996,180095700
2018-12-04,15063.5996,285129100
2018-12-03,15275.0,294475600
2018-11-30,15197.7998,339228800
2018-11-29,15194.0,223082300
2018-11-28,15171.2998,244842300
2018-11-27,14944.0996,219177800
2018-11-26,15012.7002,245892100
2018-11-23,15010.7002,154972200
2018-11-22,15091.5996,83391200
2018-11-21,15095.0,270566000
2018-11-20,14877.0,292344300
2018-11-19,15071.0,225780400
2018-11-16,15155.5,285186100
2018-11-15,15144.9004,268321200
2018-11-14,15133.0996,295362000
2018-11-13,15131.7998,300186800
2018-11-12,15156.4004,241196100
2018-11-09,15274.4004,287404100
2018-11-08,15357.5,281152200
2018-11-07,15369.4004,271236500
2018-11-06,15292.7002,237092100
2018-11-05,15217.7002,255477900
2018-11-02,15119.2998,268963600
2018-11-01,15150.2002,290143000
2018-10-31,15027.2998,310550400
2018-10-30,14894.5,286522100
2018-10-29,14721.7998,283759500
2018-10-26,14888.2998,269257400
2018-10-25,14924.0996,300106200
2018-10-24,14909.0996,290191400
2018-10-23,15285.2002,346691200
2018-10-22,15412.7002,278747800
2018-10-19,15470.0996,251480500
2018-10-18,15404.0996,268976300
2018-10-17,15529.9004,312769400
2018-10-16,15579.7002,280525800
2018-10-15,15409.5,246963900
2018-10-12,15414.2998,289282400
2018-10-11,15317.0996,389019100
2018-10-10,15517.4004,339860300
2018-10-09,15854.0996,228171700
2018-10-05,15946.2002,208165400
2018-10-04,16006.7002,253042000
2018-10-03,16072.0996,225949100
2018-10-02,16017.2002,248211900
2018-10-01,16104.4004,232645500
2018-09-28,16073.0996,260484900
2018-09-27,16204.5996,224428600
2018-09-26,16169.2998,234652900
2018-09-25,16159.5,237368500
2018-09-24,16207.2998,234911500
2018-09-21,16224.0996,497537500
2018-09-20,16214.7998,259244800
2018-09-19,16149.9004,348868600
2018-09-18,16196.0,228914700
2018-09-17,16082.2998,222709300
2018-09-14,16013.5,194435900
2018-09-13,16001.7002,221711900
2018-09-12,16049.0,266571000
2018-09-11,16094.2998,215647000
2018-09-10,16057.0996,200681100
2018-09-07,16090.2998,225132900
2018-09-06,16100.9004,229173900
2018-09-05,16137.5996,255580900
2018-09-04,16161.2998,239502100
2018-08-31,16262.9004,217160800
2018-08-30,16371.5996,216595200
2018-08-29,16390.3008,180128300
2018-08-28,16355.5,198610200
2018-08-27,16444.4004,213875400
2018-08-24,16356.0996,211605900
